"Player","On_court_time","Possessions","poss_permin","efficiency","Pt_diff_perposs","Pt_diff_permin","def_eff","Pts.x","Pts_against","Tnovers.x","FG_made.x","FG_att.x","Three_made.x","Three_att.x","Rebounds","Opp_OReb","Opp_DReb","Defensive_plays","PER","Pts.y","Assists","Tnovers.y","FT_made","FT_att","FG_made.y","FG_att.y","Three_made.y","Three_att.y","Off_Rebounds","Def_Rebounds","Steals","Blocks","fouls"
"Andrew Rohde",2181,111,3.05364511691884,1.40302613480055,0.144144144144144,0.440165061898212,0.414414414414414,57,41,7,21,49,9,24,28,18,23,23,6.2818431911967,13,3,3,0,0,5,14,3,8,0,6,0,0,2
"Anthony Robinson",0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Blake Buchanan",337,15,2.67062314540059,0,-0.133333333333333,-0.356083086053412,0.266666666666667,5,7,3,2,8,1,3,5,2,3,2,-1.75637982195846,0,0,2,0,0,0,0,0,0,2,0,1,0,2
"Bryce Walker",0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cavaliers",0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Christian Bliss",0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dante Harris",0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Desmond Roberts",0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Elijah Gertrude",436,20,2.75229357798165,0,-0.05,-0.137614678899083,0.5,5,6,6,2,7,1,3,6,1,2,5,-0.339495412844037,0,0,0,0,0,0,1,0,1,0,1,0,1,1
"Isaac McKneely",1983,101,3.05597579425113,0.75642965204236,0.0099009900990099,0.0302571860816944,0.336633663366337,42,41,10,16,41,6,22,24,13,21,17,5.62220877458397,10,2,1,0,0,4,11,2,7,0,1,0,0,1
"Jacob Groves",1900,95,3,1.51578947368421,0.126315789473684,0.378947368421053,0.442105263157895,49,37,6,18,38,7,19,20,16,18,21,17.9522526315789,12,3,0,0,0,5,8,2,4,1,3,0,0,2
"Jordan Minor",151,10,3.97350993377483,1.58940397350993,0.3,1.19205298013245,0.2,5,2,1,2,5,1,2,5,0,2,1,4.8635761589404,0,0,0,0,0,0,0,0,0,0,2,0,0,1
"Leon Bond III",445,21,2.8314606741573,0.134831460674157,0.0476190476190476,0.134831460674157,0.571428571428571,5,4,3,2,9,1,5,6,2,6,6,1.98296629213483,0,0,0,0,0,0,1,0,0,0,0,1,0,0
"Reece Beekman",2083,106,3.05328852616419,1.23859817570811,0.122641509433962,0.374459913586174,0.358490566037736,57,44,7,21,48,9,22,26,16,21,19,20.5716178588574,12,5,1,4,4,4,8,0,1,0,1,3,2,2
"Ryan Dunn",2148,110,3.07262569832402,1.34078212290503,0.0818181818181818,0.251396648044693,0.363636363636364,56,47,7,21,47,8,23,26,17,22,20,21.2671229050279,12,0,1,2,2,4,8,2,4,0,5,3,5,0
"Taine Murray",326,16,2.94478527607362,3.31288343558282,0.5,1.47239263803681,0.75,14,6,0,5,8,2,2,4,5,2,6,1.87619631901841,0,1,0,0,0,0,1,0,0,0,1,0,0,0
"Tristan How",0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Without Andrew Rohde",217,10,2.76497695852535,NA,-0.4,-1.10599078341014,0.2,2,6,3,1,3,0,1,2,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Without Anthony Robinson",2398,121,3.02752293577982,NA,0.0991735537190083,0.300250208507089,0.396694214876033,59,47,10,22,52,9,25,30,18,24,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Without Blake Buchanan",2061,106,3.08588064046579,NA,0.132075471698113,0.407569141193595,0.415094339622642,54,40,7,20,44,8,22,25,16,21,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Without Bryce Walker",2398,121,3.02752293577982,NA,0.0991735537190083,0.300250208507089,0.396694214876033,59,47,10,22,52,9,25,30,18,24,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Without Cavaliers",2398,121,3.02752293577982,NA,0.0991735537190083,0.300250208507089,0.396694214876033,59,47,10,22,52,9,25,30,18,24,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Without Christian Bliss",2398,121,3.02752293577982,NA,0.0991735537190083,0.300250208507089,0.396694214876033,59,47,10,22,52,9,25,30,18,24,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Without Dante Harris",2398,121,3.02752293577982,NA,0.0991735537190083,0.300250208507089,0.396694214876033,59,47,10,22,52,9,25,30,18,24,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Without Desmond Roberts",2398,121,3.02752293577982,NA,0.0991735537190083,0.300250208507089,0.396694214876033,59,47,10,22,52,9,25,30,18,24,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Without Elijah Gertrude",1962,101,3.08868501529052,NA,0.128712871287129,0.397553516819572,0.376237623762376,54,41,4,20,45,8,22,24,17,22,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Without Isaac McKneely",415,20,2.89156626506024,NA,0.55,1.59036144578313,0.7,17,6,0,6,11,3,3,6,5,3,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Without Jacob Groves",498,26,3.13253012048193,NA,0,0,0.230769230769231,10,10,4,4,14,2,6,10,2,6,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Without Jordan Minor",2247,111,2.96395193591455,NA,0.0810810810810811,0.240320427236315,0.414414414414414,54,45,9,20,47,8,23,25,18,22,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Without Leon Bond III",1953,100,3.07219662058372,NA,0.11,0.337941628264209,0.36,54,43,7,20,43,8,20,24,16,18,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Without Reece Beekman",315,15,2.85714285714286,NA,-0.0666666666666667,-0.19047619047619,0.666666666666667,2,3,3,1,4,0,3,4,2,3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Without Ryan Dunn",250,11,2.64,NA,0.272727272727273,0.72,0.727272727272727,3,0,3,1,5,1,2,4,1,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Without Taine Murray",2072,105,3.04054054054054,NA,0.0380952380952381,0.115830115830116,0.342857142857143,45,41,10,17,44,7,23,26,13,22,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Without Tristan How",2398,121,3.02752293577982,NA,0.0991735537190083,0.300250208507089,0.396694214876033,59,47,10,22,52,9,25,30,18,24,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
